lon,lat,Name,City,PostCode
-0.136731914760825,51.513304442559864,43 Broadwick Street,London,W1F 9
-0.139503373967193,51.516222808107045,1 Great Titchfield Street,London,W1W 8
-0.139744189043355,51.514871515977433,10 Ramillies Place,London,W1F 7
-0.135895129408918,51.516024876795228,2 Berners Street,London,W1D 1
-0.134673917371335,51.516173290461175,1 Newman Street,London,W1D 1
-0.139545535314417,51.513788398830179,1 Carnaby Street,London,W1F 7
-0.138162674048188,51.511267890494928,11 Warwick Street,London,W1B 5
-0.13958928132283,51.510171461264605,9 Vigo Street,London,W1S 3
-0.134131835536968,51.51008268979804,20 A4,London,W1J 9
-0.13363298240603,51.512215714682441,52 Rupert Street,London,W1D 7
-0.131629138642262,51.51233779324555,54 Dean Street,London,W1D 5
-0.135860297763745,51.511426518574154,36 Bridle Lane,London,W1F 9
